game_pk,date,hp_umpire,n_challenges
824370,2026-04-20,Adam Beck,5
824046,2026-04-20,Brian Walsh,7
823149,2026-04-20,Mike Estabrook,0
824448,2026-04-21,Derek Thomas,4
822995,2026-04-21,Tripp Gibson,4
823880,2026-04-21,Manny Gonzalez,8
824290,2026-04-21,Emil Jimenez,2
822747,2026-04-21,Laz Diaz,5
824773,2026-04-21,Austin Jones,4
823640,2026-04-21,Ryan Additon,4
824127,2026-04-21,Brock Ballou,6
824690,2026-04-21,Vic Carapazza,4
822914,2026-04-21,Mark Ripperger,2
824369,2026-04-21,Alex MacKay,4
824045,2026-04-21,Chad Fairchild,2
823148,2026-04-21,Malachi Moore,9
825099,2026-04-21,Doug Eddings,4
823236,2026-04-21,Junior Valentine,6
823878,2026-04-22,Jacob Metz,6
824449,2026-04-22,Alex Tosi,6
822993,2026-04-22,Ryan Blakney,3
824123,2026-04-22,Adrian Johnson,4
824044,2026-04-22,Chad Whitson,6
823147,2026-04-22,Alfonso Márquez,5
824286,2026-04-22,Mike Muchlinski,1
822748,2026-04-22,Brian O'Nora,3
824774,2026-04-22,Todd Tichenor,3
823641,2026-04-22,Ryan Wills,5
824688,2026-04-22,John Bacon,6
822913,2026-04-22,Shane Livensparger,5
824367,2026-04-22,Alan Porter,2
825097,2026-04-22,Jeremie Rehak,7
823231,2026-04-22,Jordan Baker,6
822745,2026-04-23,Chris Segal,6
824288,2026-04-23,Gabe Morales,3
824689,2026-04-23,Hunter Wendelstedt,6
824368,2026-04-23,Roberto Ortiz,7
825096,2026-04-23,Cory Blaser,7
823233,2026-04-23,Rob Drake,6
824770,2026-04-23,John Libka,3
823639,2026-04-23,Lance Barksdale,2
822912,2026-04-23,Dan Merzel,4
824529,2026-04-24,Erich Bacchus,4
824854,2026-04-24,Jansen Visconti,2
822827,2026-04-24,Paul Clemons,6
823638,2026-04-24,Nick Mahrley,6
822992,2026-04-24,Bill Miller,2
824932,2026-04-24,Dexter Kelley,3
824124,2026-04-24,Jim Wolf,6
824611,2026-04-24,Will Little,7
823800,2026-04-24,Tom Hanahan,4
822909,2026-04-24,Clint Vondrak,2
824204,2026-04-24,Adam Beck,7
823069,2026-04-24,Edwin Moscoso,3
823962,2026-04-24,Willie Traynor,2
823232,2026-04-24,Dan Bellino,7
824851,2026-04-25,Andy Fletcher,3
823070,2026-04-25,Vic Carapazza,2
822826,2026-04-25,Quinn Wolcott,6
823229,2026-04-25,Mark Ripperger,5
822989,2026-04-25,Brian Walsh,6
824613,2026-04-25,Ryan Additon,9
825093,2026-04-25,Stu Scheurwater,0
822910,2026-04-25,Austin Jones,2
824121,2026-04-25,Derek Thomas,5
